[Aug 9 04:57:46] 
[Aug 9 04:57:46] [PHP ERR][ISSUE] MSG:Creation of dynamic property DUPX_Bootstrap::$extractionTmpFolder is deprecated [CODE:8192|FILE:/home/users/2/boo.jp-ring-inc/web/ring/installer.php|LINE:99]
[Aug 9 04:57:46] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.4==
[Aug 9 04:57:46] ----------------------------------------------------
[Aug 9 04:57:46] Installer bootstrap start
[Aug 9 04:57:46] Ready to extract the installer
[Aug 9 04:57:46] Checking permission of destination folder
[Aug 9 04:57:46] ZipArchive exists so using that
[Aug 9 04:57:46] Successfully opened archive file.
[Aug 9 04:57:46] Extracting all files from archive within dup-installer
[Aug 9 04:57:46] Success: dup-installer/dup-database__[HASH].sql >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/addons/.htaccess >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/addons/index.php >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/css/all.min.css >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/css/index.php >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff2 >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff2 >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff2 >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/webfonts/index.php >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/font-awesome/index.php >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/fonts/dots/dots-font.css >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/fonts/dots/dotsfont.eot >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/fonts/dots/dotsfont.svg >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/fonts/dots/dotsfont.ttf >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/fonts/dots/dotsfont.woff >>> /home/users/2/boo.jp-ring-inc/web/ring
[Aug 9 04:57:46] Success: dup-installer/assets/fonts/dots/dotsfont.woff2 >>> /home/users/2/boo.jp-ring-inc/web/ring
